country_num,sector_num,year,Wage
1,1,2000,31.2795
1,2,2000,45.80215
1,3,2000,39.04005
1,4,2000,65.60382
1,5,2000,34.57193
1,6,2000,43.26273
2,1,2000,.5018696
2,2,2000,1.336556
2,3,2000,1.11344
2,4,2000,1.908638
2,5,2000,.9600757
2,6,2000,1.015978
3,1,2000,7.100865
3,2,2000,23.94818
3,3,2000,19.44241
3,4,2000,32.45282
3,5,2000,21.32113
3,6,2000,26.41202
4,1,2000,19.57467
4,2,2000,38.93452
4,3,2000,27.97776
4,4,2000,40.91539
4,5,2000,32.13563
4,6,2000,42.05576
5,1,2000,1.889065
5,2,2000,9.645741
5,3,2000,5.343587
5,4,2000,15.89889
5,5,2000,6.280434
5,6,2000,10.4859
6,1,2000,.3940561
6,2,2000,1.320818
6,3,2000,.9570001
6,4,2000,2.133017
6,5,2000,1.288744
6,6,2000,1.898898
